Dataset Name,Algorithm Name,Cross Validation [1-10),Hyper-Parameter Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time (seconds),Inference Time (seconds)
analcatdata_asbestos.csv,baseline,1,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",1.0,0.6666666666666666,0.26666666666666666,1.0,1.0,0.0,3.3309612274169917,0.34503698348999023
analcatdata_asbestos.csv,baseline,2,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",0.7777777777777778,0.625,0.25,0.8333333333333333,1.0,0.3333333333333333,3.1610000133514404,0.3999991416931152
analcatdata_asbestos.csv,baseline,3,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.6666666666666666,0.5833333333333334,0.43333333333333335,0.6666666666666666,0.7,0.2,2.2240002155303955,0.2269573211669922
analcatdata_asbestos.csv,baseline,4,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.75,0.625,0.4166666666666667,0.8333333333333333,0.8125,0.4166666666666666,0.3740000724792481,0.04095768928527832
analcatdata_asbestos.csv,baseline,5,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.75,0.75,0.3333333333333333,0.75,0.9375,0.0,3.1070005893707275,0.3939995765686035
analcatdata_asbestos.csv,baseline,6,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",1.0,0.625,0.25,1.0,1.0,0.0,2.228959083557129,0.22699546813964844
analcatdata_asbestos.csv,baseline,7,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.625,0.625,0.3333333333333333,0.6333333333333333,0.875,0.15833333333333333,2.252011775970459,0.2340338230133057
analcatdata_asbestos.csv,baseline,8,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.75,0.75,0.5,0.8,0.8,0.3200000000000001,3.095998525619507,0.39300012588500977
analcatdata_asbestos.csv,baseline,9,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",1.0,0.5833333333333333,0.25,1.0,1.0,0.0,2.2570009231567383,0.2290008068084717
analcatdata_asbestos.csv,baseline,10,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}",0.75,0.6111111111111109,0.2333333333333333,0.8571428571428572,0.9333333333333332,0.5714285714285715,1.853967905044556,0.19203424453735352
