Dataset Name,Algorithm Name,Cross Validation [1-10),Hyper-Parameter Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time (seconds),Inference Time (seconds)
analcatdata_germangss.csv,baseline,1,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.325,0.5023437500000001,0.4283854166666666,0.2840909090909091,0.5683333333333334,0.7510454773536545,1.0379996299743652,0.12395715713500975
analcatdata_germangss.csv,baseline,2,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.275,0.5567460317460318,0.4017195767195768,0.275,0.6475,0.5476801821329684,0.6609992980957031,0.08495855331420897
analcatdata_germangss.csv,baseline,3,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",0.225,0.490983606557377,0.3867486338797815,0.21428571428571427,0.6108333333333333,0.39135789578068986,3.4450018405914307,0.4139704704284668
analcatdata_germangss.csv,baseline,4,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.175,0.5086065573770492,0.4430327868852459,0.16805555555555554,0.5658333333333333,0.2903751082079256,2.441997528076172,0.2440371513366699
analcatdata_germangss.csv,baseline,5,"{'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",0.375,0.5191666666666667,0.32611111111111113,0.3379120879120879,0.68,0.6526910370331422,2.762006521224976,0.2850031852722168
analcatdata_germangss.csv,baseline,6,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",0.35,0.540948275862069,0.33362068965517244,0.4082792207792208,0.7008333333333333,0.689538675929805,2.6550734043121342,0.3239920139312744
analcatdata_germangss.csv,baseline,7,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.3,0.50375,0.3094444444444445,0.28134920634920635,0.6891666666666666,0.5907719313541934,1.055027961730957,0.1319584846496582
analcatdata_germangss.csv,baseline,8,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",0.225,0.5436363636363637,0.4281818181818182,0.2229437229437229,0.6141666666666666,0.5956589106627805,3.5840058326721187,0.3699955940246582
analcatdata_germangss.csv,baseline,9,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.3,0.5348484848484848,0.4598484848484848,0.2951923076923077,0.56875,0.4492689315744344,1.039001703262329,0.12995481491088867
analcatdata_germangss.csv,baseline,10,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",0.325,0.4575471698113208,0.30943396226415104,0.3083333333333333,0.6666666666666666,0.43591218373541024,3.575998544692993,0.3700442314147949
analcatdata_germangss.csv,pseudo,1,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}, train_split_size: 0.44999999999999996",0.33125,0.5133767377763173,0.37227705006923434,0.2793154761904762,0.6189583333333333,0.7843369693066489,0.28713077306747437,0.036999404430389404
analcatdata_germangss.csv,pseudo,2,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}, train_split_size: 0.44999999999999996",0.375,0.5313993889879032,0.39726997618712195,0.37749715562215563,0.6277083333333333,0.5963912849543653,0.7002561092376709,0.10349029302597046
