Dataset Name,Algorithm Name,Cross Validation [1-10),Hyper-Parameter Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time (seconds),Inference Time (seconds)
annealing.csv,baseline,1,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9666666666666668,0.8421652421652421,0.14886039886039887,0.9916666666666668,0.9986956521739132,1.0,5.182602405548097,0.5207152366638184
annealing.csv,baseline,2,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.9444444444444444,0.8813238770685579,0.2270685579196217,0.9864864864864864,0.9974637681159421,1.0,0.8380019664764404,0.08499479293823242
annealing.csv,baseline,3,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9777777777777776,0.8048780487804879,0.12127371273712735,0.9929577464788732,-1.0,,4.845808506011963,1.9614527225494385
annealing.csv,baseline,4,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9555555555555556,0.8042424242424243,0.1572222222222222,0.9337686567164178,-1.0,,4.071993350982666,0.5180041790008545
annealing.csv,baseline,5,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9666666666666668,0.8434343434343433,0.1627525252525253,0.9719806763285024,0.9995588235294118,1.0,3.958494663238525,0.4099998474121094
annealing.csv,baseline,6,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9444444444444444,0.8455373406193079,0.16898907103825134,0.7290821256038648,0.9731512605042016,0.08333333333333333,4.229003429412842,0.4360415935516357
annealing.csv,baseline,7,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.9333333333333332,0.9099415204678364,0.2497563352826511,0.9272727272727274,0.9956985294117648,1.0,0.8310320377349854,0.08899974822998047
annealing.csv,baseline,8,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9222222222222224,0.8521825396825398,0.14226190476190476,0.8864993215739485,0.9952363445378152,1.0,4.452034950256348,0.44403600692749023
annealing.csv,baseline,9,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.9662921348314608,0.8950325251330573,0.3401094027202839,0.9915492957746479,0.9989787581699346,1.0,3.454997301101685,0.2760024070739746
annealing.csv,baseline,10,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.9662921348314608,0.8154806491885144,0.149812734082397,0.960651289009498,0.9928308823529411,1.0,5.08310866355896,0.4799585342407226
annealing.csv,pseudo,1,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}, train_split_size: 0.44999999999999996",0.9638888888888889,0.8858829715320667,0.28221917071985914,0.8910287639076467,0.9985144927536234,1.0,1.569018840789795,0.1910080909729004
annealing.csv,pseudo,2,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}, train_split_size: 0.44999999999999996",0.9777777777777776,0.8413636160314903,0.18445303913299085,0.9943661971830986,0.9980797101449276,1.0,2.4332132935523987,0.29677730798721313
annealing.csv,pseudo,3,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}, train_split_size: 0.44999999999999996",0.9777777777777776,0.8685466005402547,0.23411157720385642,0.9929577464788732,-1.0,,2.077929139137268,0.2669987678527832
annealing.csv,pseudo,4,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}, train_split_size: 0.44999999999999996",0.9583333333333335,0.844945987654321,0.1386727827705156,0.9380437385266182,-1.0,,2.265771210193634,0.2922552227973938
annealing.csv,pseudo,5,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}, train_split_size: 0.44999999999999996",0.9666666666666668,0.860369171490495,0.242386990709601,0.9719806763285024,0.9995772058823529,1.0,2.104766547679901,0.22750204801559448
annealing.csv,pseudo,6,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}, train_split_size: 0.44999999999999996",0.9444444444444444,0.8826450149644595,0.22463044799850357,0.746407259985031,0.9585189075630254,0.06794871794871794,2.502252459526062,0.26600754261016846
